Game ID,Black Player,White Player,Result,Winner,Board Diff,Corner Diff,Territory Diff,Liberty Diff
139250,谷歌围棋AlphaGo,李世石,黑中盘胜,B,-1,7,-11,5
140037,谷歌围棋AlphaGo,李世石,白中盘胜,W,-9,-2,-12,-6
140038,李世石,谷歌围棋AlphaGo,白中盘胜,W,-2,7,3,2
140561,李世石,谷歌围棋AlphaGo,白中盘胜,W,-4,3,-11,-13
145415,金志锡,李世石,白中盘胜,W,15,-1,6,-12
153199,林立祥,李世石,白不计点胜,W,1,-6,0,11
153979,李世石,姜东润,黑5点胜,B,-8,-2,-2,14
154918,朴永训,李世石,白中盘胜,W,1,2,0,-13
156774,元晟溱,李世石,白中盘胜,W,2,11,-2,-12
158981,李世石,元晟溱,黑中盘胜,B,-5,0,-13,-21
165438,李世石,古力,白中盘胜,W,-2,2,-6,-22
169001,李世石,朴廷桓,白不计点胜,W,-1,0,-3,-27
169039,朴廷桓,李世石,白中盘胜,W,1,-2,3,8
169667,朴廷桓,李世石,黑3点胜,B,0,0,-35,4
171401,毛睿龙,李世石,黑中盘胜,B,0,3,16,-4
171445,李世石,张维,黑胜1又3/4子,B,5,-12,-5,14
171462,李世石,申旻埈,黑中盘胜,B,-2,-4,-1,-13
171744,安成浚,李世石,白中盘胜,W,-2,10,-1,-3
172420,李世石,谢赫,黑中盘胜,B,-12,-10,-15,-46
172754,李世石,邱峻,黑中盘胜,B,8,-2,0,28
173675,安国铉,李世石,白中盘胜,W,6,-3,-28,-18
173689,朴永训,李世石,白中盘胜,W,0,4,0,-6
176564,金大容,李世石,白中盘胜,W,0,-1,-17,-15
177878,李世石,李昌镐,黑中盘胜,B,-4,-4,2,15
181676,李世石,姜升旼,白中盘胜,W,-6,-1,-5,-11
181703,李世石,安正已,黑2目半胜,B,-8,-13,-16,-33
183220,洪基杓,李世石,白中盘胜,W,-10,-1,-11,-32
185361,金庭贤,李世石,黑胜3.5目,B,-15,-5,-8,8
186481,余正麒,李世石,白中盘胜,W,-1,-1,0,16
187032,陈耀烨,李世石,白4目半胜,W,4,-1,14,3
190471,李世石,姜东润,黑中盘胜,B,8,8,7,28
191767,元晟溱,李世石,黑中盘胜,B,-3,-6,0,-1
197437,范蕴若,李世石,黑中盘胜,B,10,9,18,19
197441,阿里贾巴林,李世石,白中盘胜,W,-2,-4,20,-4
197644,李世石,廖行文,黑中盘胜,B,1,3,-3,-13
216796,李世石,崔哲瀚,黑胜2.5目,B,1,15,-19,-2
219407,金志锡,李世石,黑中盘胜,B,3,-2,10,10
